UNITID,ARANK,XHRTOTLT,HRTOTLT,XHRTOTLM,HRTOTLM,XHRTOTLW,HRTOTLW,XHRAIANT,HRAIANT,XHRAIANM,HRAIANM,XHRAIANW,HRAIANW,XHRASIAT,HRASIAT,XHRASIAM,HRASIAM,XHRASIAW,HRASIAW,XHRBKAAT,HRBKAAT,XHRBKAAM,HRBKAAM,XHRBKAAW,HRBKAAW,XHRHISPT,HRHISPT,XHRHISPM,HRHISPM,XHRHISPW,HRHISPW,XHRNHPIT,HRNHPIT,XHRNHPIM,HRNHPIM,XHRNHPIW,HRNHPIW,XHRWHITT,HRWHITT,XHRWHITM,HRWHITM,XHRWHITW,HRWHITW,XHR2MORT,HR2MORT,XHR2MORM,HR2MORM,XHR2MORW,HR2MORW,XHRUNKNT,HRUNKNT,XHRUNKNM,HRUNKNM,XHRUNKNW,HRUNKNW,XHRNRALT,HRNRALT,XHRNRALM,HRNRALM,XHRNRALW,HRNRALW 
100706,19,"R",40,"R",16,"R",24,"R",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",34,"R",13,"R",21,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0
100706,21,"R",91,"R",33,"R",58,"R",0,"R",0,"R",0,"R",4,"R",2,"R",2,"R",5,"R",1,"R",4,"R",2,"R",0,"R",2,"R",0,"R",0,"R",0,"R",78,"R",28,"R",50,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2,"R",2,"R",0
100706,22,"R",312,"R",198,"R",114,"R",0,"R",0,"R",0,"R",45,"R",41,"R",4,"R",16,"R",6,"R",10,"R",7,"R",3,"R",4,"R",0,"R",0,"R",0,"R",240,"R",144,"R",96,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4,"R",4,"R",0
100724, 1,"R",57,"R",37,"R",20,"R",2,"R",1,"R",1,"R",13,"R",12,"R",1,"R",23,"R",7,"R",16,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",19,"R",17,"R",2,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724, 2,"R",41,"R",15,"R",26,"R",0,"Z",0,"Z",0,"R",2,"R",2,"Z",0,"R",24,"R",6,"R",18,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",15,"R",7,"R",8,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724, 3,"R",10,"R",3,"R",7,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",6,"Z",0,"R",6,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",4,"R",3,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724, 4,"R",2,"R",0,"R",2,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724, 7,"R",110,"R",55,"R",55,"R",2,"R",1,"R",1,"R",15,"R",14,"R",1,"R",55,"R",13,"R",42,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38,"R",27,"R",11,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
100724, 8,"R",2,"R",1,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"Z",0,"R",1,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
100724, 9,"R",13,"R",7,"R",6,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",8,"R",5,"R",3,"R",1,"R",1,"Z",0,"R",0,"Z",0,"Z",0,"R",4,"R",1,"R",3,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0
