unitid,cnftmen,cnftwom,cnptmen,cnptwom,ftmen1,ftmen2,ftmen4,ftmen5,ftmen6,ftmen7,ftmen8,ftmen9,ftwom1,ftwom2,ftwom4,ftwom5,ftwom6,ftwom7,ftwom8,ftwom9,icnftmen,icnftwom,icnptmen,icnptwom,iftmen1,iftmen2,iftmen4,iftmen5,iftmen6,iftmen7,iftmen8,iftmen9,iftwom1,iftwom2,iftwom4,iftwom5,iftwom6,iftwom7,iftwom8,iftwom9,iptmen1,iptmen2,iptmen3,iptmen4,iptmen5,iptmen6,iptmen7,iptmen8,iptmen9,iptwom1,iptwom2,iptwom3,iptwom4,iptwom5,iptwom6,iptwom7,iptwom8,iptwom9,ptmen1,ptmen2,ptmen3,ptmen4,ptmen5,ptmen6,ptmen7,ptmen8,ptmen9,ptwom1,ptwom2,ptwom3,ptwom4,ptwom5,ptwom6,ptwom7,ptwom8,ptwom9
"103529","","","","","20","0","46","17","0","0","1","84","9","0","37","29","40","1","0","116","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","1","3","2","0","0","6","0","0","0","1","2","4","0","1","8"
"103583","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103617","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"103635","","","","","","","","","","","","0","","","","","","","","0","N","N","N","N","N","N","N","N","","","","T","N","N","N","N","","","","T","N","N","","N","N","","","","T","N","N","","N","N","","","","T","","","","","","","","","0","","","","","","","","","0"
"103644","0","5","0","1","1","0","1","0","","","","2","4","4","3","0","","","","16","Z","R","Z","R","R","Z","R","Z","","","","T","R","R","R","Z","","","","T","Z","R","","Z","Z","","","","T","Z","R","","Z","Z","","","","T","0","7","","0","0","","","","7","0","2","","0","0","","","","3"
"103653","0","0","0","0","0","0","0","0","","","","0","0","0","0","0","","","","0","I","I","I","I","I","I","I","I","","","","I","I","I","I","I","","","","I","I","I","","I","I","","","","I","I","I","","I","I","","","","I","0","0","","0","0","","","","0","0","0","","0","0","","","","0"
"103778","","","","","19","58","0","2","0","7","34","120","10","22","9","18","64","0","21","144","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103787","","","","","2","6","4","0","0","0","2","14","2","3","3","0","2","0","0","10","","","","","R","R","R","Z","Z","Z","R","Z","R","R","R","Z","R","Z","Z","Z","Z","R","Z","Z","Z","Z","Z","Z","Z","Z","R","Z","R","Z","R","Z","Z","Z","0","2","0","0","0","0","0","0","2","0","1","0","1","0","3","0","0","5"
"103820","","","","","","","","","","","","0","","","","","","","","0","N","N","N","N","N","N","N","N","","","","T","N","N","N","N","","","","T","N","N","","N","N","","","","T","N","N","","N","N","","","","T","","","","","","","","","0","","","","","","","","","0"
"103963","","","","","3","20","21","0","2","0","0","46","1","1","2","0","10","0","0","14","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","6","0","0","7","0","0","0","13","0","4","0","0","4","0","0","0","8"
"104009","1","1","0","0","0","0","0","0","","","","1","1","1","1","0","","","","4","R","R","R","R","R","R","R","R","","","","R","R","R","R","R","","","","R","R","R","","R","R","","","","R","R","R","","R","R","","","","R","0","4","","0","0","","","","4","0","1","","0","0","","","","1"
"104018","","","","","3","6","1","1","0","0","1","12","2","1","1","1","4","0","0","9","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","4","0","1","1","0","0","1","7","0","4","0","0","5","0","0","1","10"
"104090","1","1","0","0","1","2","0","0","","","","4","1","1","1","1","","","","5","I","I","I","I","I","I","I","I","","","","I","I","I","I","I","","","","I","I","I","","I","I","","","","I","I","I","","I","I","","","","I","0","2","","0","0","","","","2","0","2","","0","0","","","","2"
"104151","","","","","237","1267","534","228","128","234","453","3081","124","507","695","84","1343","16","100","2869","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","1","21","609","28","3","9","0","9","680","1","11","395","36","4","56","0","2","505"
"104160","","","","","3","51","32","8","3","7","30","134","1","34","22","0","54","0","2","113","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","0","80","0","0","20","0","0","11","111","0","86","0","3","43","0","0","3","135"
"104179","","","","","321","1508","1333","297","171","269","572","4471","142","574","1378","157","1802","22","268","4343","","","","","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","5","112","1801","37","0","0","0","0","1955","0","46","1073","22","0","0","0","0","1141"
