unitid,arank,"xstaff01",staff01,"xstaff02",staff02,"xstaff03",staff03,"xstaff04",staff04,"xstaff05",staff05,"xstaff06",staff06,"xstaff07",staff07,"xstaff08",staff08,"xstaff09",staff09,"xstaff10",staff10,"xstaff11",staff11,"xstaff12",staff12,"xstaff13",staff13,"xstaff14",staff14,"xstaff15",staff15,"xstaff16",staff16,stat_s
"209542","18",10,"7",10,"7",10,"2",10,"0",10,"1",10,"0",10,"0",10,"1",10,"1",10,"2",10,"57",10,"66",10,"12",10,"4",10,"80",10,"80","1"
"209542","20",10,"52",10,"24",10,"0",10,"0",10,"2",10,"0",10,"7",10,"4",10,"3",10,"4",10,"194",10,"143",10,"27",10,"16",10,"285",10,"191","1"
"209542","21",10,"67",10,"35",10,"2",10,"1",10,"4",10,"0",10,"12",10,"7",10,"8",10,"7",10,"300",10,"233",10,"47",10,"24",10,"440",10,"307","1"
"209542","22",10,"91",10,"41",10,"8",10,"4",10,"8",10,"1",10,"57",10,"20",10,"23",10,"14",10,"854",10,"436",10,"63",10,"36",10,"1104",10,"552","1"
"209551","1",10,"0",10,"0",10,"1",10,"1",10,"0",10,"0",10,"6",10,"0",10,"2",10,"0",10,"156",10,"47",10,"2",10,"1",10,"167",10,"49","1"
"209551","2",10,"1",10,"2",10,"2",10,"0",10,"1",10,"2",10,"9",10,"3",10,"5",10,"3",10,"111",10,"71",10,"0",10,"0",10,"129",10,"81","1"
"209551","3",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"1",10,"0","1"
"209551","4",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"4",10,"3",10,"0",10,"0",10,"4",10,"3","1"
"209551","7",10,"1",10,"2",10,"3",10,"1",10,"1",10,"2",10,"15",10,"3",10,"7",10,"3",10,"272",10,"121",10,"2",10,"1",10,"301",10,"133","1"
"209551","8",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"2",10,"0",10,"0",10,"0",10,"3",10,"0","1"
"209551","9",10,"2",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"6",10,"6",10,"2",10,"0",10,"10",10,"7","1"
"209551","10",10,"13",10,"5",10,"2",10,"1",10,"1",10,"0",10,"6",10,"5",10,"3",10,"1",10,"42",10,"33",10,"9",10,"6",10,"76",10,"51","1"
"209551","11",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"2",10,"1","1"
"209551","14",10,"15",10,"5",10,"2",10,"1",10,"1",10,"0",10,"7",10,"6",10,"3",10,"1",10,"52",10,"40",10,"11",10,"6",10,"91",10,"59","1"
"209551","15",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"3",10,"0",10,"0",10,"1",10,"3",10,"1","1"
"209551","16",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"0",10,"1",10,"0",10,"0",10,"0",10,"1",10,"0","1"
"209551","17",10,"3",10,"3",10,"0",10,"0",10,"0",10,"0",10,"2",10,"1",10,"0",10,"0",10,"12",10,"15",10,"2",10,"2",10,"19",10,"21","1"
"209551","18",10,"3",10,"3",10,"0",10,"0",10,"1",10,"0",10,"0",10,"3",10,"4",10,"2",10,"39",10,"46",10,"1",10,"3",10,"48",10,"57","1"
"209551","20",10,"25",10,"20",10,"0",10,"1",10,"0",10,"1",10,"3",10,"5",10,"2",10,"1",10,"92",10,"108",10,"2",10,"7",10,"124",10,"143","1"
"209551","21",10,"31",10,"26",10,"0",10,"1",10,"1",10,"1",10,"5",10,"9",10,"6",10,"3",10,"147",10,"169",10,"5",10,"13",10,"195",10,"222","1"
"209551","22",10,"47",10,"33",10,"5",10,"3",10,"3",10,"3",10,"27",10,"18",10,"16",10,"7",10,"471",10,"330",10,"18",10,"20",10,"587",10,"414","1"
"209603","1",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",13,"0",10,"5",10,"1",13,"0",13,"0",10,"5",10,"1","1"
